"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Years","Generation_Length_Days","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax","Lambda10YMin","LambdaMin","Lambda3GMin","Lambda10YMid","LambdaMid","Lambda3GMid","Lambda10YMax","LambdaMax","Lambda3GMax","ExLambda10YMin","ExLambdaMin","ExLambda3GMin","ExLambda10YMid","ExLambdaMid","ExLambda3GMid","ExLambda10YMax","ExLambdaMax","ExLambda3GMax"
"1","Aceros nipalensis","Rufous-necked Hornbill","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",9.550671919,3488.38291841475,3.50389048801824,1.23713491695497,1.23713491695497,4.90109037786124,1.73860567284639,1.73860567284639,6.51175273797047,2.32267815691724,2.32267815691724,0.964961095119818,0.98762865083045,0.98762865083045,0.950989096221388,0.982613943271536,0.982613943271536,0.934882472620295,0.976773218430828,0.976773218430828,-0.0356674943938732,-0.012448511370499,-0.012448511370499,-0.0502526820951295,-0.017538969167589,-0.017538969167589,-0.0673344553263765,-0.0235007742203709,-0.0235007742203709
"2","Acrobatornis fonsecai","Pink-legged Graveteiro","aves",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c;B1ab(i,ii,iii,v);C2a(i)",2.507388232,915.823551738,3.50389048801824,3.50389048801824,4.63099251676136,4.90109037786124,4.90109037786124,6.46234882715726,6.51175273797047,6.51175273797047,8.56252051118257,0.964961095119818,0.964961095119818,0.953690074832386,0.950989096221388,0.950989096221388,0.935376511728427,0.934882472620295,0.934882472620295,0.914374794888174,-0.0356674943938732,-0.0356674943938732,-0.0474165294637059,-0.0502526820951295,-0.0502526820951295,-0.066806144409271,-0.0673344553263765,-0.0673344553263765,-0.0895147315269266
"3","Acrocephalus paludicola","Aquatic Warbler","aves",FALSE,TRUE,"Decreasing","VU","A2c",2.226320722,813.1636437105,3.50389048801824,3.50389048801824,5.20018702532566,4.90109037786124,4.90109037786124,7.24793825265179,6.51175273797047,6.51175273797047,9.59003984911102,0.964961095119818,0.964961095119818,0.947998129746743,0.950989096221388,0.950989096221388,0.927520617473482,0.934882472620295,0.934882472620295,0.90409960150889,-0.0356674943938732,-0.0356674943938732,-0.0534027495700493,-0.0502526820951295,-0.0502526820951295,-0.0752402556656878,-0.0673344553263765,-0.0673344553263765,-0.100815745998907
"4","Aerodramus bartschi","Mariana Swiftlet","aves",TRUE,TRUE,"Decreasing","EN","A2e+3e+4e",2.225731797,812.94853885425,6.69670084631926,6.69670084631926,9.86017696966821,9.8381456326306,9.8381456326306,14.3671034857567,14.449622653224,14.449622653224,20.8422930958996,0.933032991536807,0.933032991536807,0.901398230303318,0.901618543673694,0.901618543673694,0.856328965142433,0.85550377346776,0.85550377346776,0.791577069041004,-0.0693147180559945,-0.0693147180559945,-0.103808132003179,-0.103563748950672,-0.103563748950672,-0.15510067159374,-0.156064774826466,-0.156064774826466,-0.233728033534592
"5","Agelaius tricolor","Tricolored Blackbird","aves",TRUE,TRUE,"Decreasing","EN","A2bc+3bc+4bc",3.777039139,1379.56354551975,6.69670084631926,5.93385733783712,5.93385733783712,9.8381456326306,8.73452772670769,8.73452772670769,14.449622653224,12.8667075399106,12.8667075399106,0.933032991536807,0.940661426621629,0.940661426621629,0.901618543673694,0.912654722732923,0.912654722732923,0.85550377346776,0.871332924600894,0.871332924600894,-0.0693147180559945,-0.0611720058182454,-0.0611720058182454,-0.103563748950672,-0.0913976487396522,-0.0913976487396522,-0.156064774826466,-0.137731142554681,-0.137731142554681
"6","Agelastes meleagrides","White-breasted Guineafowl","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",2.461606778,899.1018756645,3.50389048801824,3.50389048801824,4.71505775522467,4.90109037786124,4.90109037786124,6.57849475794665,6.51175273797047,6.51175273797047,8.71462015696939,0.964961095119818,0.964961095119818,0.952849422447753,0.950989096221388,0.950989096221388,0.934215052420533,0.934882472620295,0.934882472620295,0.912853798430306,-0.0356674943938732,-0.0356674943938732,-0.0482983915392751,-0.0502526820951295,-0.0502526820951295,-0.0680486184122372,-0.0673344553263765,-0.0673344553263765,-0.0911795443639516
"7","Alectrurus risora","Strange-tailed Tyrant","aves",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c",2.74042875,1000.9416009375,3.50389048801824,3.50389048801824,4.24566872521931,4.90109037786124,4.90109037786124,5.92944357517317,6.51175273797047,6.51175273797047,7.86382864461148,0.964961095119818,0.964961095119818,0.957543312747807,0.950989096221388,0.950989096221388,0.940705564248268,0.934882472620295,0.934882472620295,0.921361713553885,-0.0356674943938732,-0.0356674943938732,-0.0433843237046675,-0.0502526820951295,-0.0502526820951295,-0.0611250850134668,-0.0673344553263765,-0.0673344553263765,-0.081902579813927
"8","Alectrurus tricolor","Cock-tailed Tyrant","aves",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c",2.422907499,884.96696400975,3.50389048801824,3.50389048801824,4.78853544255962,4.90109037786124,4.90109037786124,6.67997844064477,6.51175273797047,6.51175273797047,8.84746615689359,0.964961095119818,0.964961095119818,0.952114645574404,0.950989096221388,0.950989096221388,0.933200215593552,0.934882472620295,0.934882472620295,0.911525338431064,-0.0356674943938732,-0.0356674943938732,-0.0490698254178698,-0.0502526820951295,-0.0502526820951295,-0.0691355078087934,-0.0673344553263765,-0.0673344553263765,-0.0926358866419338
"9","Alopecoenas hoedtii","Wetar Ground-dove","aves",FALSE,TRUE,"Decreasing","EN","A2cd+3cd+4cd",4.404154454,1608.6174143235,6.69670084631926,5.1109257510616,5.1109257510616,9.8381456326306,7.5390115066878,7.5390115066878,14.449622653224,11.1410017962798,11.1410017962798,0.933032991536807,0.948890742489384,0.948890742489384,0.901618543673694,0.924609884933122,0.924609884933122,0.85550377346776,0.888589982037202,0.888589982037202,-0.0693147180559945,-0.0524616160945041,-0.0524616160945041,-0.103563748950672,-0.0783833764478235,-0.0783833764478235,-0.156064774826466,-0.118119362416036,-0.118119362416036
"10","Amandava formosa","Green Avadavat","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",1.673476019,611.23711593975,3.50389048801824,3.50389048801824,6.85797690315757,4.90109037786124,4.90109037786124,9.52498123743832,6.51175273797047,6.51175273797047,12.5515705939359,0.964961095119818,0.964961095119818,0.931420230968424,0.950989096221388,0.950989096221388,0.904750187625617,0.934882472620295,0.934882472620295,0.874484294060641,-0.0356674943938732,-0.0356674943938732,-0.0710447276385964,-0.0502526820951295,-0.0502526820951295,-0.100096409159896,-0.0673344553263765,-0.0673344553263765,-0.134120944592548
