"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Days","Generation_Length_Years","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax","Lambda10YMin","LambdaMin","Lambda3GMin","Lambda10YMid","LambdaMid","Lambda3GMid","Lambda10YMax","LambdaMax","Lambda3GMax","ExLambda10YMin","ExLambdaMin","ExLambda3GMin","ExLambda10YMid","ExLambdaMid","ExLambda3GMid","ExLambda10YMax","ExLambdaMax","ExLambda3GMax"
"1","Acerodon celebensis","Sulawesi Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2d",1642.5,4.49691991786448,3.50389048801824,2.60920260091243,2.60920260091243,4.90109037786124,3.65644693521234,3.65644693521234,6.51175273797047,4.86864230743805,4.86864230743805,0.964961095119818,0.973907973990876,0.973907973990876,0.950989096221388,0.963435530647877,0.963435530647877,0.934882472620295,0.951313576925619,0.951313576925619,-0.0356674943938732,-0.0264384623589289,-0.0264384623589289,-0.0502526820951295,-0.037249704992889,-0.037249704992889,-0.0673344553263765,-0.0499115369009823,-0.0499115369009823
"2","Acerodon jubatus","Golden-capped Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852,0.933032991536807,0.977144504728361,0.977144504728361,0.901618543673694,0.966044968759956,0.966044968759956,0.85550377346776,0.949274545107115,0.949274545107115,-0.0693147180559945,-0.0231207312967598,-0.0231207312967598,-0.103563748950672,-0.0345448943417653,-0.0345448943417653,-0.156064774826466,-0.0520572228359516,-0.0520572228359516
"3","Acinonyx jubatus","Cheetah","mammalia",TRUE,TRUE,"Decreasing","VU","A2acd; C1",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795,0.964961095119818,0.98036645183403,0.98036645183403,0.950989096221388,0.97244935813299,0.97244935813299,0.934882472620295,0.963258325213205,0.963258325213205,-0.0356674943938732,-0.0198288467691967,-0.0198288467691967,-0.0502526820951295,-0.0279372787446668,-0.0279372787446668,-0.0673344553263765,-0.0374336526757367,-0.0374336526757367
"4","Addax nasomaculatus","Addax","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd; C2a(ii); D",2555,6.99520876112252,14.8660077479215,7.38252930088964,7.38252930088964,20.1786754970349,10.1831040360979,10.1831040360979,36.9042655519807,19.703489327801,19.703489327801,0.851339922520785,0.926174706991104,0.926174706991104,0.798213245029651,0.898168959639021,0.898168959639021,0.630957344480193,0.80296510672199,0.80296510672199,-0.16094379124341,-0.0766923936746974,-0.0766923936746974,-0.225379492882461,-0.107397077332445,-0.107397077332445,-0.46051701859881,-0.219444019625851,-0.219444019625851
"5","Ailurus fulgens","Red Panda","mammalia",FALSE,TRUE,"Decreasing","EN","A2cde+3cde+4cde",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852,0.933032991536807,0.977144504728361,0.977144504728361,0.901618543673694,0.966044968759956,0.966044968759956,0.85550377346776,0.949274545107115,0.949274545107115,-0.0693147180559945,-0.0231207312967598,-0.0231207312967598,-0.103563748950672,-0.0345448943417653,-0.0345448943417653,-0.156064774826466,-0.0520572228359516,-0.0520572228359516
"6","Allocebus trichotis","Hairy-eared Dwarf Lemur","mammalia",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c",2053.5145,5.62221629021218,3.50389048801824,2.09247332188129,2.09247332188129,4.90109037786124,2.93546425288249,2.93546425288249,6.51175273797047,3.91352857643599,3.91352857643599,0.964961095119818,0.979075266781187,0.979075266781187,0.950989096221388,0.970645357471175,0.970645357471175,0.934882472620295,0.96086471423564,0.96086471423564,-0.0356674943938732,-0.0211467581186013,-0.0211467581186013,-0.0502526820951295,-0.0297941117293402,-0.0297941117293402,-0.0673344553263765,-0.0399216559512307,-0.0399216559512307
"7","Alouatta discolor","Spix's Red-handed Howler Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",4015,10.9924709103354,3.50389048801824,1.07574548459258,1.07574548459258,4.90109037786124,1.51229970208653,1.51229970208653,6.51175273797047,2.02113129281826,2.02113129281826,0.964961095119818,0.989242545154074,0.989242545154074,0.950989096221388,0.984877002979135,0.984877002979135,0.934882472620295,0.979788687071817,0.979788687071817,-0.0356674943938732,-0.01081573460138,-0.01081573460138,-0.0502526820951295,-0.0152385156789091,-0.0152385156789091,-0.0673344553263765,-0.0204183560049473,-0.0204183560049473
"8","Amorphochilus schnablii","Smoky Bat","mammalia",FALSE,TRUE,"Stable","VU","A2c",2070.531028,5.66880500479124,3.50389048801824,2.07545617190822,2.07545617190822,4.90109037786124,2.9116940217106,2.9116940217106,6.51175273797047,3.881998048036,3.881998048036,0.964961095119818,0.979245438280918,0.979245438280918,0.950989096221388,0.970883059782894,0.970883059782894,0.934882472620295,0.96118001951964,0.96118001951964,-0.0356674943938732,-0.0209729648275237,-0.0209729648275237,-0.0502526820951295,-0.0295492507107796,-0.0295492507107796,-0.0673344553263765,-0.0395935623524804,-0.0395935623524804
"9","Antechinus bellus","Fawn Antechinus","mammalia",TRUE,TRUE,"Decreasing","VU","A2be",622.1218,1.70327665982204,3.50389048801824,3.50389048801824,6.74212908176289,4.90109037786124,4.90109037786124,9.3663941103544,6.51175273797047,6.51175273797047,12.3461241256045,0.964961095119818,0.964961095119818,0.932578709182371,0.950989096221388,0.950989096221388,0.906336058896456,0.934882472620295,0.934882472620295,0.876538758743955,-0.0356674943938732,-0.0356674943938732,-0.069801724396317,-0.0502526820951295,-0.0502526820951295,-0.0983451157808973,-0.0673344553263765,-0.0673344553263765,-0.131774355696688
"10","Aotus brumbacki","Brumback's Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236,0.964961095119818,0.985238401537902,0.985238401537902,0.950989096221388,0.979265029034937,0.979265029034937,0.934882472620295,0.972315207532376,0.972315207532376,-0.0356674943938732,-0.0148716350768975,-0.0148716350768975,-0.0502526820951295,-0.0209529590585001,-0.0209529590585001,-0.0673344553263765,-0.0280752395068025,-0.0280752395068025
