"","Scientific_Name","Class","Common_Name"
"2","Abramis brama","actinopterygii","Freshwater bream"
"3","Abrothrix longipilis","mammalia","Long-haired grass mouse"
"4","Abrothrix olivaceus","mammalia","Olive grass mouse"
"5","Abudefduf bengalensis","actinopterygii","Bengal sergeant"
"6","Abudefduf saxatilis","actinopterygii","Sergeant major"
"7","Abudefduf sexfasciatus","actinopterygii","Scissortail sergeant"
"8","Abudefduf sordidus","actinopterygii","Blackspot sergeant"
"9","Abudefduf vaigiensis","actinopterygii","Indo-Pacific sergeant"
"10","Acanthaluteres vittiger","actinopterygii","Toothbrush leatherjacket"
"11","Acanthemblemaria aspera","actinopterygii","Roughhead blenny"
"12","Acanthemblemaria chaplini","actinopterygii","Papillose blenny"
"13","Acanthemblemaria spinosa","actinopterygii","Spinyhead blenny"
"14","Acanthis flammea","aves","Redpoll"
"15","Acanthistius sebastoides","actinopterygii","Koester"
"16","Acanthiza apicalis","aves","Inland thornbill"
"17","Acanthiza reguloides","aves","Buff-rumped thornbill"
"18","Acanthiza uropygialis","aves","Chestnut-rumped thornbill"
"19","Acanthochromis polyacanthus","actinopterygii","Spiny chromis"
"20","Acanthodactylus aureus","reptilia","Nidua fringe-fingered lizard"
"21","Acanthogobius flavimanus","actinopterygii","Yellowfin goby"
"22","Acanthopagrus australis","actinopterygii","Yellowfin bream"
"23","Acanthopagrus berda","actinopterygii","Goldsilk seabream"
"24","Acanthopagrus butcheri","actinopterygii","Black bream"
"25","Acanthopagrus schlegelii","actinopterygii","Blackhead seabream"
"26","Acanthophis praelongus","reptilia","Northern death adder"
"27","Acanthostracion polygonius","actinopterygii","Honeycomb cowfish"
"28","Acanthostracion quadricornis","actinopterygii","Scrawled cowfish"
"29","Acanthurus achilles","actinopterygii","Achilles tang"
"30","Acanthurus bahianus","actinopterygii","Barber surgeonfish"
"31","Acanthurus blochii","actinopterygii","Ringtail surgeonfish"
"32","Acanthurus chirurgus","actinopterygii","Doctorfish"
"33","Acanthurus coeruleus","actinopterygii","Blue tang surgeonfish"
"34","Acanthurus dussumieri","actinopterygii","Eyestripe surgeonfish"
"35","Acanthurus lineatus","actinopterygii","Lined surgeonfish"
"36","Acanthurus nigricans","actinopterygii","Whitecheek surgeonfish"
"37","Acanthurus nigrofuscus","actinopterygii","Brown surgeonfish"
"38","Acanthurus tractus","actinopterygii","Ocean surgeonfish"
"39","Acanthurus xanthopterus","actinopterygii","Yellowfin surgeonfish"
"40","Accipiter badius","aves","Shikra"
"41","Accipiter cooperii","aves","Cooper's hawk"
