Class,Order,Family,Genus,species,common_name,rl_id,rl_binomial,fishbase_id,fishbase_binomial
Aves,Gruiformes,Gruidae,Balearica,regulorum,Grey-crowned crane,22692046,Balearica regulorum,NULL,NULL
Aves,Passeriformes,Acrocephalidae,Acrocephalus,sechellensis,Seychelles warbler,22714882,Acrocephalus sechellensis,NULL,NULL
Aves,Passeriformes,Muscicapidae,Copsychus,sechellarum,Seychelles magpie-robin,22709978,Copsychus sechellarum,NULL,NULL
Aves,Falconiformes,Falconidae,Falco,punctatus,Mauritius kestrel,22696373,Falco punctatus,NULL,NULL
Aves,Galliformes,Phasianidae,Pternistis,ochropectus,Djibouti francolin,22678869,Pternistis ochropectus,NULL,NULL
Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,22695225,Gyps coprotheres,NULL,NULL
Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,22695189,Gyps africanus,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,Marabou,22697716,Leptoptilos crumenifer,NULL,NULL
Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,Hooded vulture,22695185,Necrosyrtes monachus,NULL,NULL
Aves,Psittaciformes,Psittacidae,Psittacula,eques,Echo parakeet,22685448,Psittacula eques,NULL,NULL
Aves,Accipitriformes,Accipitridae,Torgos,tracheliotos,Lappet-faced vulture,22695238,Torgos tracheliotos,NULL,NULL
Aves,Accipitriformes,Accipitridae,Trigonoceps,occipitalis,White-headed vulture,22695250,Trigonoceps occipitalis,NULL,NULL
Mammalia,Carnivora,Felidae,Acinonyx,jubatus,Cheetah,219,Acinonyx jubatus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,Impala / Black-faced impala,550,Aepyceros melampus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Alcelaphus,caama,Red hartebeest,814,Alcelaphus buselaphus ssp. caama,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest / Swayne's hartebeest,811,Alcelaphus buselaphus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,1676,Antidorcas marsupialis,NULL,NULL
Mammalia,Carnivora,Canidae,Canis,mesomelas,Black-backed jackal,3755,Canis mesomelas,NULL,NULL
Mammalia,Carnivora,Canidae,Canis,simensis,Ethiopian wolf,3748,Canis simensis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Philantomba,maxwellii,Maxwell's duiker,4142,Philantomba maxwellii,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Cephalophus,rufilatus,Red-flanked duiker,4149,Cephalophus rufilatus,NULL,NULL
Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Southern white rhinoceros / Northern white rhinoceros,4185,Ceratotherium simum,NULL,NULL
Mammalia,Primates,Cercopithecidae,Lophocebus,albigena,Grey-cheeked mangabey,12309,Lophocebus albigena,NULL,NULL
Mammalia,Primates,Cercopithecidae,Cercocebus,galeritus,Tana river mangabey,4200,Cercocebus galeritus,NULL,NULL
Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,Blue monkey,4221,Cercopithecus mitis,NULL,NULL
Mammalia,Primates,Cercopithecidae,Colobus,guereza,Guereza / Magistrate colobus / Eastern black-and-white colobus,5143,Colobus guereza,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,Black wildebeest / White-tailed gnu,5228,Connochaetes gnou,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,White-bearded wildebeest / Blue wildebeest,5229,Connochaetes taurinus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,Bontebok / Blesbok,30208,Damaliscus pygargus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Beatragus,hunteri,Hirola / Hunter's antelope / Hunter's hartebeest,6234,Beatragus hunteri,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Damaliscus,korrigum,Topi / Korrigum / Tiang,6238,Damaliscus lunatus ssp. korrigum,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Damaliscus,lunatus,Topi / Tsessebe antelope,6235,Damaliscus lunatus,NULL,NULL
Mammalia,Perissodactyla,Rhinocerotidae,Diceros,bicornis,Black rhinoceros,6557,Diceros bicornis,NULL,NULL
Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,Straw-coloured fruit bat,7084,Eidolon helvum,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,burchellii,Burchell's zebra / Plains zebra / Common zebra,41013,Equus quagga,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,grevyi,Grevy's zebra,7950,Equus grevyi,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,zebra,Cape mountain zebra,7960,Equus zebra,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Nanger,granti,Grant's gazelle,8971,Nanger granti,NULL,NULL
Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffe,9194,Giraffa camelopardalis,NULL,NULL
Mammalia,Primates,Hominidae,Gorilla,beringei,Mountain gorilla / Eastern lowland gorilla,39994,Gorilla beringei,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,Roan antelope,10167,Hippotragus equinus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,Sable antelope,10170,Hippotragus niger,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Waterbuck,11035,Kobus ellipsiprymnus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Kobus,kob,Kob,11036,Kobus kob,NULL,NULL
Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,African elephant,12392,Loxodonta africana,NULL,NULL
Mammalia,Carnivora,Canidae,Lycaon,pictus,African wild dog,12436,Lycaon pictus,NULL,NULL
Mammalia,Rodentia,Muridae,Mastomys,natalensis,African rat / Natal multimammate mouse,12868,Mastomys natalensis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Oryx,dammah,Oryx,15568,Oryx dammah,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Ourebia,ourebi,Oribi,15730,Ourebia ourebi,NULL,NULL
Mammalia,Carnivora,Felidae,Panthera,leo,African lion / Asiatic lion,15951,Panthera leo,NULL,NULL
